,City,Latitude,Longitude,Maximum Temperature,Humidity %,Cloudiness %,Wind Speed(mph),Country,Date
306,Port Blair,11.67,92.75,28.1,78,2,4.25,IN,2020-11-08 01:10:37
307,Port Macquarie,-31.43,152.92,21.11,54,51,0.45,AU,2020-11-08 01:10:40
308,Klaksvík,62.23,-6.59,5.0,80,61,1.0,FO,2020-11-08 01:10:42
309,Vao,-22.67,167.48,23.25,71,22,5.58,NC,2020-11-08 01:10:42
310,Pauini,-7.71,-66.98,26.9,65,42,1.02,BR,2020-11-08 01:10:44
311,Valdivia,-39.81,-73.25,16.0,48,100,3.1,CL,2020-11-08 01:08:38
312,Mbale,1.08,34.17,18.72,88,100,1.17,UG,2020-11-08 01:10:45
313,Raudeberg,61.99,5.14,8.0,100,100,2.6,NO,2020-11-08 01:10:45
314,Verkhnyaya Toyma,62.23,45.0,5.11,75,76,6.2,RU,2020-11-08 01:10:46
315,Lamar,33.67,-95.58,18.0,72,1,3.1,US,2020-11-08 01:10:47
316,Semut,6.66,122.22,28.0,83,20,2.1,PH,2020-11-08 01:10:47
317,Antalaha,-14.9,50.28,23.41,91,100,3.37,MG,2020-11-08 01:10:47
318,Baykit,61.67,96.37,-4.11,96,100,1.23,RU,2020-11-08 01:10:47
319,Rockhampton,-23.38,150.5,28.0,48,75,7.7,AU,2020-11-08 01:10:47
320,Saint George,37.1,-113.58,12.78,46,40,6.2,US,2020-11-08 01:10:48
321,Baruun-Urt,46.68,113.28,-6.85,77,0,4.35,MN,2020-11-08 01:10:48
322,Exeter,50.72,-3.53,12.78,96,100,2.95,GB,2020-11-08 01:00:35
323,Shimoda,34.67,138.95,20.0,64,75,2.6,JP,2020-11-08 01:10:51
324,Lagoa,39.05,-27.98,16.26,74,75,7.16,PT,2020-11-08 01:10:51
325,Homer,59.64,-151.55,5.56,93,90,3.06,US,2020-11-08 01:10:52
326,Mount Gambier,-37.83,140.77,16.0,51,0,4.1,AU,2020-11-08 01:08:39
327,Ancud,-41.87,-73.82,13.0,62,5,5.7,CL,2020-11-08 01:10:52
328,Huron,41.15,-82.55,10.56,75,0,3.45,US,2020-11-08 01:10:52
329,Brønnøysund,65.46,12.2,6.0,70,57,4.6,NO,2020-11-08 01:10:53
330,Tambacounda,13.75,-13.76,27.0,74,0,1.0,SN,2020-11-08 01:10:54
331,Cotacachi,0.3,-78.27,14.0,82,40,4.1,EC,2020-11-08 01:10:54
332,Vilhena,-12.74,-60.15,24.56,61,21,1.46,BR,2020-11-08 01:10:54
333,Aykhal,66.0,111.5,-18.0,84,0,3.0,RU,2020-11-08 01:10:54
334,Hirado,33.36,129.55,20.56,67,0,3.1,JP,2020-11-08 01:10:54
335,Naica,27.85,-105.48,21.35,27,0,5.53,MX,2020-11-08 01:10:54
336,Price,39.6,-110.81,15.0,24,75,9.8,US,2020-11-08 01:07:58
337,Paharpur,32.1,70.97,15.38,32,0,0.37,PK,2020-11-08 01:10:55
338,Saint-Augustin,51.23,-58.65,-0.22,90,94,6.53,CA,2020-11-08 01:10:55
339,Mutoko,-17.4,32.23,21.95,28,16,1.88,ZW,2020-11-08 01:10:56
340,Constitución,-35.33,-72.42,14.25,70,0,5.06,CL,2020-11-08 01:10:56
341,Płock,52.55,19.71,7.0,100,90,3.1,PL,2020-11-08 01:10:56
342,Waverly,42.74,-84.62,16.0,51,1,3.1,US,2020-11-08 01:10:56
343,Fort Nelson,58.81,-122.7,-9.0,85,20,1.0,CA,2020-11-08 01:10:56
344,San Miguel de Cozumel,20.51,-86.95,27.22,83,75,1.5,MX,2020-11-08 01:07:08
345,Pokhara,28.23,83.98,15.01,57,0,1.67,NP,2020-11-08 01:10:58
346,De Panne,51.08,2.59,11.67,100,26,2.1,BE,2020-11-08 01:10:58
347,Poum,-20.23,164.02,24.73,81,5,8.89,NC,2020-11-08 01:10:58
348,Koumra,8.91,17.55,23.54,44,0,0.8,TD,2020-11-08 01:10:58
349,Bull Savanna,17.89,-77.59,24.61,89,100,5.18,JM,2020-11-08 01:10:58
350,Chernyshevskiy,63.01,112.47,-21.14,91,20,1.39,RU,2020-11-08 01:10:58
351,Setermoen,68.86,18.35,0.0,94,90,5.1,NO,2020-11-08 01:10:58
352,Kavaratti,10.57,72.64,28.29,73,2,3.26,IN,2020-11-08 01:10:59
353,Vangaindrano,-23.35,47.6,21.22,91,3,2.19,MG,2020-11-08 01:10:59
354,Ust'-Uda,54.17,103.03,1.14,95,100,2.41,RU,2020-11-08 01:10:59
355,Xiuyan,40.29,123.27,2.34,63,0,6.53,CN,2020-11-08 01:10:59
356,Pecos,31.42,-103.49,24.0,27,1,7.7,US,2020-11-08 01:10:59
357,Sørland,67.67,12.69,4.92,69,100,7.25,NO,2020-11-08 01:10:59
358,Verkhoyansk,67.54,133.38,-31.97,84,88,0.54,RU,2020-11-08 01:10:59
359,Pisco,-13.7,-76.22,18.0,77,20,4.6,PE,2020-11-08 01:08:24
360,Noumea,-22.28,166.46,28.0,51,40,5.1,NC,2020-11-08 01:07:31
361,Lakatoro,-16.1,167.42,30.0,74,40,4.6,VU,2020-11-08 01:11:00
362,Padang,-0.95,100.35,25.64,81,100,1.94,ID,2020-11-08 01:06:28
363,Te Anau,-45.42,167.72,12.01,42,2,3.39,NZ,2020-11-08 01:11:01
364,Maniitsoq,65.42,-52.9,-6.16,85,100,4.49,GL,2020-11-08 01:11:01
365,Abalak,58.13,68.59,1.99,99,100,1.16,RU,2020-11-08 01:11:02
366,Haridwar,29.97,78.17,14.23,47,0,1.63,IN,2020-11-08 01:11:02
367,Ishnya,57.19,39.36,7.0,81,90,9.0,RU,2020-11-08 01:11:02
368,Sibu,2.3,111.82,26.0,83,40,3.1,MY,2020-11-08 01:11:02
369,Shimanovsk,52.0,127.7,-9.69,87,35,5.89,RU,2020-11-08 01:11:02
370,Isla Vista,34.41,-119.86,13.33,62,90,5.7,US,2020-11-08 01:11:03
371,Qarchī Gak,37.04,66.79,14.0,45,0,3.97,AF,2020-11-08 01:11:03
372,Chihuahua,28.5,-106.0,25.0,17,5,6.2,MX,2020-11-08 01:08:59
373,Springfield,37.22,-93.3,18.33,63,1,3.1,US,2020-11-08 01:11:03
374,Caravelas,-17.71,-39.25,23.59,94,100,1.86,BR,2020-11-08 01:11:03
375,Nyurba,63.28,118.33,-20.91,90,0,1.96,RU,2020-11-08 01:11:03
376,Nadvoitsy,63.87,34.32,2.21,81,0,7.41,RU,2020-11-08 01:11:03
377,Leningradskiy,69.38,178.42,-7.33,95,100,4.04,RU,2020-11-08 01:11:04
378,Mormugao,15.4,73.8,27.0,74,40,4.1,IN,2020-11-08 01:11:04
379,Provideniya,64.38,-173.3,-2.07,93,0,1.27,RU,2020-11-08 01:11:05
380,Boddam,57.47,-1.78,6.11,100,90,0.5,GB,2020-11-08 01:11:05
381,Umm Bāb,25.21,50.81,27.78,73,1,1.98,QA,2020-11-08 01:11:06
382,Shīeli,44.17,66.75,9.23,61,100,5.42,KZ,2020-11-08 01:11:06
383,Hualmay,-11.1,-77.61,16.27,85,25,2.15,PE,2020-11-08 01:11:06
384,Meadow Lake,34.8,-106.54,20.56,36,75,9.3,US,2020-11-08 01:02:09
385,Teshie,5.58,-0.11,27.0,74,20,2.6,GH,2020-11-08 01:11:06
386,Khanbari,27.37,87.2,15.59,55,0,1.4,NP,2020-11-08 01:11:07
387,Tiznit Province,29.58,-9.5,16.38,68,100,0.11,MA,2020-11-08 01:08:03
388,Suriāpet,17.15,79.62,19.01,66,0,2.98,IN,2020-11-08 01:11:08
389,Zunyi,27.69,106.91,14.69,71,77,1.16,CN,2020-11-08 01:11:08
390,Vestmannaeyjar,63.44,-20.27,6.76,68,100,7.85,IS,2020-11-08 01:11:08
391,Boquete,8.78,-82.43,26.67,100,94,0.73,PA,2020-11-08 01:11:08
392,Cacequi,-29.88,-54.83,20.34,78,0,6.27,BR,2020-11-08 01:11:08
393,Laufen,47.95,12.93,3.89,100,75,0.5,DE,2020-11-08 01:11:09
394,Houma,29.6,-90.72,21.11,88,90,5.1,US,2020-11-08 01:09:49
395,Yilan,24.76,121.75,22.78,83,75,5.1,TW,2020-11-08 01:11:09
396,Galanta,48.19,17.73,4.44,86,0,3.6,SK,2020-11-08 01:11:09
397,South Venice,27.05,-82.42,24.0,83,40,8.7,US,2020-11-08 01:11:09
398,Ulladulla,-35.35,150.47,18.0,48,75,4.1,AU,2020-11-08 01:11:09
399,Aswān,24.09,32.91,18.62,49,77,2.27,EG,2020-11-08 01:11:09
400,Kutum,14.2,24.67,17.14,36,1,2.84,SD,2020-11-08 01:11:09
401,Dunmore Town,25.5,-76.65,26.66,78,100,13.62,BS,2020-11-08 01:11:09
402,Steamboat Springs,40.48,-106.83,10.0,75,40,5.7,US,2020-11-08 01:11:10
403,Tshikapa,-6.42,20.8,20.99,95,100,0.62,CD,2020-11-08 01:11:10
404,Province of Mantua,45.17,10.78,8.89,98,0,1.34,IT,2020-11-08 01:11:10
405,Caconda,-13.73,15.07,16.7,93,100,1.03,AO,2020-11-08 01:11:10
406,Narsaq,60.92,-46.05,-2.0,74,100,2.1,GL,2020-11-08 01:11:10
407,Lázaro Cárdenas,17.96,-102.2,25.82,82,63,1.85,MX,2020-11-08 01:11:10
408,Cabedelo,-6.98,-34.83,26.0,88,40,5.1,BR,2020-11-08 01:11:11
409,Kuytun,54.34,101.5,1.19,90,100,2.8,RU,2020-11-08 01:11:11
410,Meulaboh,4.14,96.13,26.1,79,68,1.33,ID,2020-11-08 01:11:11
411,Masuguru,-11.37,38.42,24.89,72,93,1.77,TZ,2020-11-08 01:11:12
412,Biak,-0.91,122.88,28.39,62,100,3.61,ID,2020-11-08 01:11:12
413,Beloha,-25.17,45.05,20.71,82,0,1.4,MG,2020-11-08 01:11:12
414,Marzuq,14.4,46.47,16.67,60,1,1.25,YE,2020-11-08 01:11:12
415,Westport,41.14,-73.36,17.0,63,1,2.6,US,2020-11-08 01:07:37
416,Bubaque,11.28,-15.83,29.43,78,0,6.0,GW,2020-11-08 01:11:12
417,Kikwit,-5.04,18.82,21.15,96,100,0.52,CD,2020-11-08 01:11:12
418,Bereket,39.24,55.52,11.29,86,100,2.77,TM,2020-11-08 01:11:12
419,Shahr-e Bābak,30.12,55.12,5.47,59,1,2.32,IR,2020-11-08 01:11:13
420,Lebanon,36.21,-86.29,22.0,60,90,2.99,US,2020-11-08 01:06:34
421,Isabela,6.71,121.97,28.0,83,20,2.1,PH,2020-11-08 01:11:13
422,Sola,-13.88,167.55,30.0,84,75,2.6,VU,2020-11-08 01:11:13
423,Whithorn,18.26,-78.04,25.56,88,90,1.0,JM,2020-11-08 01:11:13
424,El Dorado,38.77,-120.52,8.0,85,40,2.6,US,2020-11-08 01:11:13
425,Chu,43.6,73.76,15.0,70,100,1.34,KZ,2020-11-08 01:11:13
426,Surin,14.88,103.49,23.89,74,0,6.93,TH,2020-11-08 01:10:46
427,Bilibino,68.05,166.44,-16.23,91,100,0.76,RU,2020-11-08 01:11:14
428,Diu,20.71,70.98,24.02,46,0,5.16,IN,2020-11-08 01:11:14
429,Baft,29.23,56.61,5.69,58,0,1.1,IR,2020-11-08 01:11:14
430,Rio Grande,-32.03,-52.1,17.49,89,0,5.56,BR,2020-11-08 01:11:14
431,Bathsheba,13.22,-59.52,27.0,83,20,8.7,BB,2020-11-08 01:11:14
432,Port Said,31.26,32.28,20.0,94,0,2.6,EG,2020-11-08 01:11:14
433,Barra do Garças,-15.89,-52.26,26.48,56,99,2.06,BR,2020-11-08 01:11:15
434,Ust'-Koksa,50.27,85.61,0.05,89,0,1.0,RU,2020-11-08 01:11:15
435,Ponazyrevo,58.36,46.31,3.59,88,100,5.52,RU,2020-11-08 01:11:15
436,Haimen,23.19,116.61,21.0,94,90,2.0,CN,2020-11-08 01:11:15
437,Banda Aceh,5.56,95.32,26.53,76,76,1.23,ID,2020-11-08 01:11:15
438,Hurghada,27.26,33.81,21.0,43,0,4.1,EG,2020-11-08 01:09:17
439,Miyang,24.4,103.44,14.02,80,80,1.38,CN,2020-11-08 01:11:15
440,Kawalu,-7.38,108.21,25.65,77,76,1.29,ID,2020-11-08 01:11:15
441,Médéa,36.26,2.75,18.0,88,40,1.5,DZ,2020-11-08 01:11:16
442,Inírida,3.87,-67.92,24.39,95,100,1.18,CO,2020-11-08 01:11:16
443,Daniel Flores,9.34,-83.67,21.74,84,100,0.66,CR,2020-11-08 01:11:16
444,Cirò Marina,39.37,17.13,16.44,78,4,5.4,IT,2020-11-08 01:11:17
445,Peniche,39.36,-9.38,17.78,86,96,4.47,PT,2020-11-08 01:11:17
446,Broken Hill,-31.95,141.43,22.0,26,0,5.7,AU,2020-11-08 01:11:17
447,Nha Trang,12.25,109.18,28.0,65,40,6.2,VN,2020-11-08 01:11:17
448,Arusha,-3.37,36.68,17.28,75,100,2.31,TZ,2020-11-08 01:11:18
449,Muros,42.78,-9.06,16.11,89,90,7.6,ES,2020-11-08 01:11:18
450,Sidrolândia,-20.93,-54.96,28.0,42,0,1.5,BR,2020-11-08 01:11:08
451,Hobyo,5.35,48.53,26.13,80,49,4.51,SO,2020-11-08 01:11:18
452,Anadyr,64.75,177.48,-6.0,85,40,2.0,RU,2020-11-08 01:11:18
453,Qandala,11.47,49.87,25.23,65,0,2.25,SO,2020-11-08 01:11:18
454,Labuhan,-6.88,112.21,28.3,71,74,3.27,ID,2020-11-08 01:11:19
455,Senanga,-16.12,23.27,24.51,36,52,0.75,ZM,2020-11-08 01:11:20
456,Acaraú,-2.89,-40.12,26.11,78,30,6.71,BR,2020-11-08 01:07:21
457,Deputatsky,69.3,139.9,-19.55,93,100,1.47,RU,2020-11-08 01:11:20
458,Mercedes,-34.65,-59.43,20.56,74,0,0.45,AR,2020-11-08 01:11:20
459,Tairua,-37.02,175.85,22.22,64,3,6.26,NZ,2020-11-08 01:11:20
460,Itaituba,-4.28,-55.98,24.6,94,96,1.32,BR,2020-11-08 01:11:20
461,Greenwood,34.17,-82.12,19.0,88,20,3.1,US,2020-11-08 01:05:25
462,Tomatlán,19.93,-105.25,23.64,87,100,1.03,MX,2020-11-08 01:11:20
463,Zanjān,36.67,48.48,8.65,73,29,2.6,IR,2020-11-08 01:11:20
464,Mujiayingzi,42.12,118.78,-0.62,64,0,5.11,CN,2020-11-08 01:11:21
465,Sinnamary,5.38,-52.95,26.33,80,17,6.74,GF,2020-11-08 01:11:21
466,Sambava,-14.27,50.17,24.11,86,100,3.43,MG,2020-11-08 01:11:22
467,Youghal,51.95,-7.85,12.22,100,75,4.6,IE,2020-11-08 01:11:22
468,Kuleshovka,47.08,39.56,5.0,93,0,3.0,RU,2020-11-08 01:11:22
469,Kifrī,34.7,44.97,19.52,52,45,3.89,IQ,2020-11-08 01:11:22
470,Berlevåg,70.86,29.09,4.03,74,94,14.61,NO,2020-11-08 01:11:22
471,Moramanga,-18.93,48.2,13.66,91,100,0.73,MG,2020-11-08 01:11:22
472,Ishigaki,24.34,124.16,27.0,94,75,5.1,JP,2020-11-08 01:08:16
473,Humaitá,-7.51,-63.02,25.0,85,25,0.8,BR,2020-11-08 01:11:22
474,Santa Cruz de Barahona,18.21,-71.1,25.36,79,99,1.59,DO,2020-11-08 01:11:23
475,Antequera,37.02,-4.56,15.56,82,0,3.1,ES,2020-11-08 01:11:23
476,Kieta,-6.22,155.63,29.57,66,100,1.71,PG,2020-11-08 01:11:23
477,Coos Bay,43.37,-124.22,10.0,81,90,6.2,US,2020-11-08 01:11:24
478,Belmonte,-15.86,-38.88,25.0,88,75,4.1,BR,2020-11-08 01:11:27
479,Porto-Novo,6.5,2.6,27.0,88,20,3.6,BJ,2020-11-08 01:11:27
480,Saldanha,-33.01,17.94,16.0,87,68,4.1,ZA,2020-11-08 01:11:27
481,Bendigo,-36.77,144.28,19.44,47,0,3.02,AU,2020-11-08 01:11:27
482,San Juan del Sur,11.25,-85.87,25.12,89,17,5.77,NI,2020-11-08 01:11:27
483,Zhangjiakou,40.81,114.88,2.22,65,0,2.69,CN,2020-11-08 01:11:28
484,Harper,4.38,-7.72,25.73,87,98,2.9,LR,2020-11-08 01:11:28
485,Wajima,37.4,136.9,14.0,71,75,3.1,JP,2020-11-08 01:11:28
486,Banff,51.18,-115.57,-2.0,46,100,3.1,CA,2020-11-08 01:11:28
487,Abu Samrah,35.3,37.18,15.36,65,0,2.83,SY,2020-11-08 01:11:28
488,Naze,28.37,129.48,24.0,83,75,5.7,JP,2020-11-08 01:11:29
489,Acapulco de Juárez,16.86,-99.89,29.0,74,20,4.1,MX,2020-11-08 01:11:29
490,Mahon,39.89,4.27,18.0,93,0,1.5,ES,2020-11-08 01:11:29
491,Lixouri,38.2,20.43,16.1,58,90,2.7,GR,2020-11-08 01:11:30
492,Falkenberg,56.91,12.49,9.44,93,55,5.1,SE,2020-11-08 01:11:30
493,Mabaruma,8.2,-59.78,24.21,94,1,1.24,GY,2020-11-08 01:11:30
494,Kandrian,-6.22,149.55,29.42,70,89,2.4,PG,2020-11-08 01:11:31
495,Paidha,2.42,30.99,15.31,91,80,1.3,UG,2020-11-08 01:11:31
496,Jutaí,-5.18,-68.9,24.23,88,100,1.26,BR,2020-11-08 01:11:31
497,Sungai Raya,0.7,108.9,29.18,67,86,1.49,ID,2020-11-08 01:11:31
498,Kondinskoye,59.65,67.41,0.85,97,100,2.0,RU,2020-11-08 01:11:31
499,Broome,42.25,-75.83,17.0,42,1,2.6,US,2020-11-08 01:11:31
500,Rantepao,-2.97,119.9,25.74,53,71,1.27,ID,2020-11-08 01:11:32
501,Sur,22.57,59.53,24.27,69,0,2.75,OM,2020-11-08 01:11:32
502,Būlaevo,54.91,70.44,5.7,80,100,5.88,KZ,2020-11-08 01:11:32
503,Guaíra,-20.32,-48.31,25.76,41,4,2.1,BR,2020-11-08 01:11:32
504,Pitimbu,-7.47,-34.81,26.0,88,40,5.1,BR,2020-11-08 01:11:32
505,Touros,-5.2,-35.46,27.0,78,40,5.7,BR,2020-11-08 01:11:32
506,Patea,-39.76,174.48,16.11,85,4,2.24,NZ,2020-11-08 01:11:32
507,Karakol,42.49,78.39,3.29,58,99,0.97,KG,2020-11-08 01:11:32
508,Daru,-9.08,143.21,27.85,75,80,0.37,PG,2020-11-08 01:11:32
509,Lewistown,40.6,-77.57,12.0,71,1,0.64,US,2020-11-08 01:11:32
510,Akhtanizovskaya,45.32,37.1,8.0,81,85,3.0,RU,2020-11-08 01:11:32
511,Balkanabat,39.51,54.37,13.09,71,100,2.12,TM,2020-11-08 01:11:33
512,Mukhen,48.1,136.1,-0.44,95,98,0.93,RU,2020-11-08 01:11:33
513,Sakakah,29.97,40.21,17.0,51,0,4.1,SA,2020-11-08 01:09:06
514,Tiarei,-17.53,-149.33,29.0,66,75,5.1,PF,2020-11-08 01:11:33
515,Wexford,52.33,-6.46,12.78,99,100,4.02,IE,2020-11-08 01:11:28
516,Laurel,39.1,-76.85,15.0,93,1,0.69,US,2020-11-08 01:07:48
517,Parnaíba,-2.9,-41.78,27.21,72,7,5.97,BR,2020-11-08 01:11:33
518,Aksarka,66.56,67.8,-2.08,99,100,2.21,RU,2020-11-08 01:11:34
519,Yangi Marg`ilon,40.43,71.72,7.0,28,0,3.1,UZ,2020-11-08 01:11:34
520,Lotofaga,-13.98,-171.86,26.0,94,75,1.5,WS,2020-11-08 01:11:34
521,Markova,48.68,24.41,6.34,76,0,1.88,UA,2020-11-08 01:11:35
522,Novobiryusinskiy,56.96,97.71,3.23,95,100,2.88,RU,2020-11-08 01:11:37
523,Sioux Lookout,50.1,-91.92,0.0,92,90,1.5,CA,2020-11-08 01:11:37
524,Nanzhang,31.78,111.84,17.94,39,0,1.29,CN,2020-11-08 01:11:37
525,La Asuncion,11.03,-63.86,28.0,83,2,7.2,VE,2020-11-08 01:11:38
526,Kailua,21.4,-157.74,28.0,69,90,6.2,US,2020-11-08 01:11:17
527,Faya,18.39,42.45,14.0,62,0,0.44,SA,2020-11-08 01:11:39
528,Ritchie,-29.04,24.6,14.0,76,0,1.85,ZA,2020-11-08 01:11:39
529,Casper,42.87,-106.31,16.0,36,1,8.2,US,2020-11-08 01:11:39
530,Rivera,-30.91,-55.55,17.9,94,0,3.86,UY,2020-11-08 01:11:39
531,Kolvereid,64.87,11.6,5.92,66,96,6.05,NO,2020-11-08 01:11:39
532,Norrtälje,59.76,18.7,10.0,90,100,1.34,SE,2020-11-08 01:11:41
533,Klyuchi,52.27,79.17,5.37,62,17,7.02,RU,2020-11-08 01:11:41
534,Viedma,-40.81,-63.0,13.33,79,100,1.34,AR,2020-11-08 01:11:42
535,Zhob,31.34,69.45,8.65,42,0,0.64,PK,2020-11-08 01:11:42
536,Kisangani,0.52,25.2,21.06,98,100,0.94,CD,2020-11-08 01:11:43
537,Progreso,21.28,-89.67,26.11,83,40,4.1,MX,2020-11-08 01:11:43
538,Saryg-Sep,51.5,95.6,-4.74,95,0,1.59,RU,2020-11-08 01:11:43
539,Gbarnga,7.0,-9.47,22.52,98,64,0.78,LR,2020-11-08 01:11:43
540,Bela,25.93,81.98,17.36,38,0,0.73,IN,2020-11-08 01:11:44
541,La Ronge,55.1,-105.28,-6.0,79,100,5.1,CA,2020-11-08 01:11:44
542,Saint Anthony,45.02,-93.22,20.0,60,75,5.7,US,2020-11-08 01:11:44
543,Rosehearty,57.7,-2.11,6.11,85,97,2.24,GB,2020-11-08 01:11:45
544,Lata,40.16,-8.33,16.11,89,86,1.34,PT,2020-11-08 01:11:45
545,Camabatela,-8.19,15.38,18.58,100,100,1.92,AO,2020-11-08 01:11:45
546,Ubari,26.59,12.78,12.95,61,0,2.35,LY,2020-11-08 01:11:45
547,Comodoro Rivadavia,-45.87,-67.5,15.0,77,0,4.63,AR,2020-11-08 01:11:45
548,Hille,52.33,8.75,8.33,75,0,2.1,DE,2020-11-08 01:11:45
549,Severomuysk,56.15,113.43,-19.27,91,100,1.21,RU,2020-11-08 01:11:45
550,Sept-Îles,50.2,-66.38,-2.0,63,6,5.7,CA,2020-11-08 01:09:51
551,Najrān,17.49,44.13,18.0,37,0,2.1,SA,2020-11-08 01:11:45
552,Pemberton,50.32,-122.8,1.0,34,20,3.1,CA,2020-11-08 01:11:45
553,Dunedin,-45.87,170.5,12.22,48,5,8.49,NZ,2020-11-08 01:11:46
554,Ketchikan,55.34,-131.65,5.0,80,1,8.2,US,2020-11-08 01:11:46
555,Shingū,33.73,135.98,18.0,59,40,6.2,JP,2020-11-08 01:11:46
556,Logan Lake,50.5,-120.8,2.22,51,75,9.3,CA,2020-11-08 01:11:46
557,Talas,38.69,35.55,2.0,80,0,2.6,TR,2020-11-08 01:11:46
558,Calamar,10.25,-74.91,28.0,83,20,2.6,CO,2020-11-08 01:11:46
559,Nouakchott,18.09,-15.98,27.0,54,1,6.7,MR,2020-11-08 01:11:47
560,Rassvet,46.83,40.75,5.39,93,0,1.0,RU,2020-11-08 01:11:47
561,Alhadas,40.19,-8.79,16.11,87,20,5.1,PT,2020-11-08 01:11:47
562,Charters Towers,-20.1,146.27,30.76,41,58,7.94,AU,2020-11-08 01:11:47
563,Araceli,10.55,119.99,26.4,75,100,2.21,PH,2020-11-08 01:11:48
564,Tolyatti,53.53,49.35,2.0,77,75,3.0,RU,2020-11-08 01:11:48
565,Tsiroanomandidy,-18.77,46.03,22.47,52,37,1.5,MG,2020-11-08 01:11:48
566,Richards Bay,-28.78,32.04,22.75,88,0,2.75,ZA,2020-11-08 01:11:49
567,Coari,-4.08,-63.14,24.25,95,96,1.29,BR,2020-11-08 01:08:07
568,Salalah,17.02,54.09,23.0,56,0,1.5,OM,2020-11-08 01:11:50
569,Bonthe,7.53,-12.51,26.3,86,99,2.16,SL,2020-11-08 01:11:50
570,Yakeshi,49.28,120.73,-12.59,93,0,2.45,CN,2020-11-08 01:11:50
571,Oistins,13.07,-59.53,27.0,83,20,8.7,BB,2020-11-08 01:11:50
572,Tamandaré,-8.76,-35.1,25.22,82,17,5.25,BR,2020-11-08 01:10:32
573,Nhulunbuy,-12.23,136.77,32.0,59,75,6.7,AU,2020-11-08 01:11:51
574,Shepetivka,50.19,27.06,5.78,94,0,2.45,UA,2020-11-08 01:11:51
575,Nueva Imperial,-38.73,-72.95,13.0,82,0,3.1,CL,2020-11-08 01:11:51
